run,problem,pop,pc,pm,seconds,fitness,instance,generations,evaluations,seed
1,knap,400,0.9,0.0002,20,0.427781,instances_01_KP/large_scale/knapPI_3_5000_1000_1,183,71159,
2,knap,400,0.9,0.0002,20,0.429626,instances_01_KP/large_scale/knapPI_3_5000_1000_1,186,72183,
3,knap,400,0.9,0.0002,20,0.430256,instances_01_KP/large_scale/knapPI_3_5000_1000_1,190,73534,
4,knap,400,0.95,0.0002,20,0.429666,instances_01_KP/large_scale/knapPI_3_5000_1000_1,182,71886,
5,knap,400,0.95,0.0002,20,0.431182,instances_01_KP/large_scale/knapPI_3_5000_1000_1,190,75091,
6,knap,400,0.95,0.0002,20,0.429055,instances_01_KP/large_scale/knapPI_3_5000_1000_1,187,73795,
7,knap,800,0.9,0.0002,20,0.425021,instances_01_KP/large_scale/knapPI_3_5000_1000_1,92,71782,
8,knap,800,0.9,0.0002,20,0.425375,instances_01_KP/large_scale/knapPI_3_5000_1000_1,93,72482,
9,knap,800,0.9,0.0002,20,0.424909,instances_01_KP/large_scale/knapPI_3_5000_1000_1,92,71612,
